StockName,Ticker
Rheinmetall AG,RHM GR
RI FP,RI FP
Pernod Ricard,RI FP
Pernod Ricard SA,RI FP
RIO LN,RIO LN
Rio Tinto,RIO LN
Rio Tinto Plc,RIO LN
RKT LN,RKT LN
Reckitt Benckiser,RKT LN
Reckitt Benckiser Group Plc,RKT LN
RL US,RL US
Ralph Lauren,RL US
Ralph Lauren Corp.,RL US
RMS FP,RMS FP
Hermès International,RMS FP
Hermès,RMS FP
Hermes,RMS FP
Hermès International SCA,RMS FP
RNO FP,RNO FP
Renault,RNO FP
Renault SA,RNO FP
ROG SW,ROG SW
Roche,ROG SW
Roche Holding AG,ROG SW
ROST US,ROST US
Ross Stores.,ROST US
Ross Stores Inc.,ROST US
RTX US,RTX US
RTX,RTX US
RTX Corp.,RTX US
RTY,RTY
Russell 2000,RTY
RWE GR,RWE GR
RWE AG,RWE GR
RY CN,RY CN
Royal Bank of Canada,RY CN
SAF FP,SAF FP
Safran,SAF FP
Safran SA,SAF FP
SAN FP,SAN FP
Sanofi,SAN FP
SAN SM,SAN SM
Banco Santander,SAN SM
Banco Santander SA,SAN SM
SAP GR,SAP GR
SAP SE,SAP GR
SBUX US,SBUX US
Starbucks,SBUX US
Starbucks Corp.,SBUX US
SCCO US,SCCO US
Southern Copper,SCCO US
Southern Copper Corp.,SCCO US
SCHP SW,SCHP SW
Schindler Holding,SCHP SW
Schindler Holding AG,SCHP SW
SCHW US,SCHW US
The Charles Schwab,SCHW US
The Charles Schwab Corp.,SCHW US
SCMN SW,SCMN SW
Swisscom,SCMN SW
Swisscom AG,SCMN SW
SCR FP,SCR FP
SCOR SE,SCR FP
SD3E,SD3E
DJS 30 SelDiv INDEX,SD3E
SDF GR,SDF GR
K+S AG,SDF GR
K+S,SDF GR
SFSN SW,SFSN SW
SFS Group,SFSN SW
SFS Group AG,SFSN SW
SGO FP,SGO FP
Compagnie de Saint-Gobain,SGO FP
Compagnie de Saint-Gobain SA,SGO FP
SGSN SW,SGSN SW
SGS SA,SGSN SW
SHELL NA,SHELL NA
Shell Plc,SHELL NA
SHW US,SHW US
Sherwin-Williams,SHW US
The Sherwin-Williams Co.,SHW US
SIE GR,SIE GR
Siemens,SIE GR
Siemens AG,SIE GR
SIKA SW,SIKA SW
Sika,SIKA SW
Sika AG,SIKA SW
SLB US,SLB US
Schlumberger,SLB US
Schlumberger NV,SLB US
SLHN SW,SLHN SW
Swiss Life Holding,SLHN SW
Swiss Life Holding AG,SLHN SW
SMI,SMI
SWISS MARKET IND,SMI
SNPS US,SNPS US
Synopsys,SNPS US
Synopsys Inc.,SNPS US
SOON SW,SOON SW
Sonova Holding,SOON SW
Sonova Holding AG,SOON SW
SOXX US,SOXX US
iShares PHLX Semiconductor ETF,SOXX US
SPGI US,SPGI US
S&P Global,SPGI US
S&P Global Inc.,SPGI US
SPOT US,SPOT US
Spotify Technology,SPOT US
Spotify Technology SA,SPOT US
SPTSX60,SPTSX60
SP TSX60,SPTSX60
SPX,SPX
S&P 500,SPX
SPY US,SPY US
SPDR S&P 500 ETF Trust,SPY US
SQ US,SQ US
Block,SQ US
Block Inc.,SQ US
SREN SW,SREN SW
Swiss Re,SREN SW
Swiss Re AG,SREN SW
SRG IM,SRG IM
SNAM,SRG IM
SNAM SpA,SRG IM
STLAM IM,STLAM IM
Stellantis,STLAM IM
Stellantis NV,STLAM IM
STMN SW,STMN SW
Straumann,STMN SW
Straumann Holding AG,STMN SW
STMPA FP,STMPA FP
STMicroelectronics,STMPA FP
STMicroelectronics NV,STMPA FP
STZ US,STZ US
Constellation Brands,STZ US
Constellation Brands Inc.,STZ US
SU FP,SU FP
Schneider Electric,SU FP
Schneider Electric SE,SU FP
SUN SW,SUN SW
Sulzer,SUN SW
Sulzer AG,SUN SW
SWK US,SWK US
Stanley Black & Decker,SWK US
Stanley Black & Decker Inc.,SWK US
SX5E,SX5E
EURO STOXX 50,SX5E
SX7E,SX7E
Dow Jones EURO STOXX Banks,SX7E
SYK US,SYK US
Stryker,SYK US
Stryker Corp.,SYK US
TAP US,TAP US
Molson Coors Beverage,TAP US
Molson Coors Beverage Co.,TAP US
TECK US,TECK US
Teck Resources,TECK US
Teck Resources Limited,TECK US
TEF SM,TEF SM
Telefónica,TEF SM
Telefonica,TEF SM
Telefónica SA,TEF SM
TEMN SW,TEMN SW
Temenos,TEMN SW
Temenos AG,TEMN SW
TER US,TER US
Teradyne,TER US
Teradyne Inc.,TER US
TGT US,TGT US
Target,TGT US
Target Corp.,TGT US
TJX US,TJX US
The TJX Cos.,TJX US
The TJX Cos. Inc.,TJX US
TKA GR,TKA GR
thyssenkrupp,TKA GR
thyssenkrupp AG,TKA GR
TLT US,TLT US
iShares 20+ Year Treasury Bond ETF,TLT US
TMO US,TMO US
Thermo Fisher Scientific,TMO US
Thermo Fisher Scientific Inc.,TMO US
TMUS US,TMUS US
T-Mobile US,TMUS US
T-Mobile US Inc.,TMUS US
TOP40,TOP40
FTSE/JSE Top 40,TOP40
TSLA US,TSLA US
TSLA,TSLA US
Tesla,TSLA US
Tesla Inc.,TSLA US
TSM US,TSM US
Taiwan Semiconductor Manufacturing Co. Ltd.,TSM US
TSN US,TSN US
Tyson Foods Inc.,TSN US
Tyson Foods,TSN US
TTE FP,TTE FP
TotalEnergies,TTE FP
TotalEnergies SE,TTE FP
TTWO US,TTWO US
Take-Two Interactive Software Inc.,TTWO US
Take-Two Interactive Software,TTWO US
T US,T US
AT&T,T US
AT&T Inc.,T US
TXN US,TXN US
Texas Instruments,TXN US
Texas Instruments Incorporated,TXN US
UAA US,UAA US
Under Armour,UAA US
Under Armour Inc.,UAA US
UAL US,UAL US
United Airlines Holdings,UAL US
United Airlines,UAL US
United Airlines Holdings Inc.,UAL US
UBER US,UBER US
Uber Technologies,UBER US
Uber,UBER US
Uber Technologies Inc.,UBER US
UBI FP,UBI FP
Ubisoft Entertainment,UBI FP
Ubisoft,UBI FP
Ubisoft Entertainment SA,UBI FP
UBS US,UBS US
UBS Group,UBS US
UBS Group AG,UBS US
UCG IM,UCG IM
UniCredit,UCG IM
UniCredit SpA,UCG IM
UHR SW,UHR SW
The Swatch Group,UHR SW
Swatch,UHR SW
The Swatch Group AG,UHR SW
UKX,UKX
FTSE 100,UKX
ULTA US,ULTA US
Ulta Beauty,ULTA US
Ulta Beauty Inc.,ULTA US
ULVR LN,ULVR LN
Unilever,ULVR LN
Unilever Plc,ULVR LN
UMG NA,UMG NA
Universal Music Group,UMG NA
Universal Music Group NV,UMG NA
UNH US,UNH US
UnitedHealth Group,UNH US
UnitedHealth Group Inc.,UNH US
UNP US,UNP US
Union Pacific,UNP US
Union Pacific Corp.,UNP US
UPS US,UPS US
United Parcel Service.,UPS US
United Parcel Service Inc.,UPS US
URI US,URI US
United Rentals,URI US
United Rentals Inc.,URI US
VALE US,VALE US
Vale,VALE US
Vale SA,VALE US
VFC US,VFC US
VF,VFC US
VF Corp.,VFC US
VIE FP,VIE FP
Veolia Environnement,VIE FP
Veolia Environnement SA,VIE FP
VIPS US,VIPS US
Vipshop Holdings,VIPS US
Vipshop Holdings Ltd.,VIPS US
VIV FP,VIV FP
Vivendi,VIV FP
Vivendi SE,VIV FP
VNA GR,VNA GR
Vonovia,VNA GR
Vonovia SE,VNA GR
VOD LN,VOD LN
Vodafone,VOD LN
Vodafone Group Plc,VOD LN
VOLVB SS,VOLVB SS
Volvo,VOLVB SS
Volvo AB,VOLVB SS
VONN SW,VONN SW
Vontobel,VONN SW
Vontobel Holding AG,VONN SW
VOW3 GR,VOW3 GR
Volkswagen,VOW3 GR
Volkswagen AG,VOW3 GR
VRSN US,VRSN US
VeriSign,VRSN US
VeriSign Inc.,VRSN US
V US,V US
Visa,V US
Visa Inc.,V US
VZ US,VZ US
Verizon,VZ US
Verizon Communications Inc.,VZ US
WBA US,WBA US
Walgreens Boots Alliance,WBA US
Walgreens Boots Alliance Inc.,WBA US
WB US,WB US
Weibo,WB US
Weibo Corp.,WB US
WDC US,WDC US
Western Digital,WDC US
Western Digital Corp.,WDC US
WFC US,WFC US
Wells Fargo,WFC US
Wells Fargo & Co.,WFC US
WMT US,WMT US
Walmart,WMT US
Walmart Inc.,WMT US
WM US,WM US
Waste Management,WM US
Waste Management Inc.,WM US
WPM US,WPM US
Wheaton Precious Metals,WPM US
Wheaton Precious Metals Corp.,WPM US
WSM US,WSM US
Williams-Sonoma,WSM US
Williams-Sonoma Inc.,WSM US
XBI US,XBI US
SPDR S&P BIOTECH ETF,XBI US
XLE US,XLE US
Energy Select Sector SPDR Fund,XLE US
XLF US,XLF US
Financial Select Sector SPDR Fund,XLF US
XLK US,XLK US
Technology Select Sector SPDR Fund,XLK US
XOM US,XOM US
Exxon Mobil,XOM US
Exxon Mobil Corp.,XOM US
XOP US,XOP US
SPDR S&P Oil & Gas Exploration & Production ETF,XOP US
YUMC US,YUMC US
Yum China Holdings Inc.,YUMC US
ZM US,ZM US
Zoom,ZM US
Zoom Video,ZM US
Zoom Video Communications Inc.,ZM US
ZTS US,ZTS US
Zoetis,ZTS US
Zoetis Inc.,ZTS USZETIS
ZURN SW,ZURN SW
Zurich Insurance Group,ZURN SW
Zurich Insurance Group AG,ZURN SW
